team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Degerfors IF,229.08,7.85,0.87,1.12,1.64,1.91,-1.04,62.907268170426065,42.10526315789473,3.7593984962406015
SV Sandhausen,382.35,6.35,1.21,1.55,1.31,1.13,0.08000000000000007,62.65664160401002,70.92731829573935,50.37593984962406
1. FC Nürnberg,382.35,19.63,1.58,1.63,1.31,1.77,-0.18999999999999995,62.40601503759399,54.385964912280706,37.84461152882205
Los Angeles Galaxy,1270.0,46.43,1.36,1.42,1.55,1.79,-0.42999999999999994,62.15538847117794,14.035087719298245,23.05764411027569
Sarmiento,797.41,10.68,0.73,0.88,1.21,0.78,-0.050000000000000044,61.904761904761905,53.88471177944862,31.32832080200501
Verona,4580.0,89.28,0.6,0.7,1.31,1.09,-0.4900000000000001,61.65413533834586,61.65413533834586,32.581453634085214
Austin FC,1270.0,46.4,1.3,1.21,1.47,1.46,-0.15999999999999992,61.40350877192983,46.11528822055138,32.33082706766917
SpVgg Greuther Fürth,382.35,21.55,1.4,1.62,1.17,1.61,-0.2100000000000002,61.152882205513784,55.13784461152882,41.854636591478695
Sporting Kansas City,1270.0,36.68,1.28,1.16,1.22,1.37,-0.09000000000000008,60.902255639097746,25.062656641604008,44.11027568922306
León,824.85,62.63,1.08,1.35,0.81,0.94,0.14000000000000012,60.6516290726817,87.468671679198,68.92230576441104
Barrow,101.25,3.23,1.03,1.15,1.26,0.96,0.07000000000000006,60.40100250626567,64.41102756892231,37.34335839598997
FC Midtjylland,268.93,41.65,1.24,1.38,1.12,1.24,0.0,60.150375939849624,39.097744360902254,51.8796992481203
Pisa,475.12,30.6,0.79,0.97,1.18,0.79,0.0,59.899749373433586,64.91228070175438,38.095238095238095
Beijing Guoan,142.19,10.63,1.64,1.42,1.03,1.24,0.3999999999999999,59.64912280701754,37.84461152882205,67.66917293233082
Heerenveen,967.18,32.58,1.03,1.17,1.74,2.17,-1.14,59.3984962406015,29.07268170426065,4.010025062656641
Atlético San Luis,824.85,36.6,1.78,1.54,1.42,1.21,0.5700000000000001,59.14786967418546,52.63157894736842,72.68170426065163
Lyngby,268.93,8.55,0.99,1.22,1.49,1.44,-0.44999999999999996,58.89724310776943,60.902255639097746,14.536340852130325
Excelsior,967.18,19.8,1.63,1.41,1.42,1.52,0.10999999999999988,58.64661654135338,28.57142857142857,50.6265664160401
Burnley,1680.0,256.75,0.7,0.81,1.94,2.28,-1.5799999999999998,58.39598997493734,15.037593984962406,2.506265664160401
Servette,280.76,27.71,1.37,1.6,1.32,1.19,0.18000000000000016,58.1453634085213,52.88220551378446,57.393483709273184
Salford City,101.25,5.1,1.44,1.12,1.5,1.51,-0.07000000000000006,57.89473684210527,29.57393483709273,24.06015037593985
Internacional,1440.0,90.6,0.96,1.07,1.26,1.03,-0.07000000000000006,57.64411027568922,45.363408521303256,50.125313283208015
Kashiwa Reysol,254.5,13.4,0.84,1.11,1.11,1.26,-0.42000000000000004,57.393483709273184,3.007518796992481,19.799498746867165
Dinamo Zagreb,227.34,79.8,1.94,1.72,0.66,0.83,1.1099999999999999,57.14285714285714,86.46616541353383,89.72431077694235
Grenoble,339.0,12.15,1.17,1.61,1.05,0.59,0.58,56.89223057644111,88.97243107769424,76.69172932330827
Schalke 04,3970.0,31.15,1.25,1.32,2.1,2.05,-0.7999999999999998,56.64160401002506,36.340852130325814,10.025062656641603
Granada,476.9,68.1,1.3,1.08,1.91,2.16,-0.8600000000000001,56.390977443609025,25.81453634085213,6.265664160401002
Charlton Athletic,224.44,9.43,1.54,1.45,1.09,1.02,0.52,56.14035087719298,59.14786967418546,70.92731829573935
Silkeborg,268.93,11.73,1.76,1.64,0.97,0.76,1.0,55.88972431077694,65.6641604010025,84.46115288220551
Racing Santander,476.9,14.1,1.53,1.18,1.25,1.05,0.48,55.639097744360896,56.14035087719298,63.65914786967418
Boca Juniors,797.41,79.53,1.14,1.05,1.1,0.92,0.21999999999999986,55.388471177944865,81.45363408521304,62.65664160401002
Crawley Town,101.25,2.43,1.49,1.3,1.29,1.63,-0.1399999999999999,55.13784461152882,60.40100250626567,28.32080200501253
1. FC Kaiserslautern,382.35,17.6,1.85,2.16,1.42,1.59,0.26,54.88721804511278,44.86215538847117,68.1704260651629
Kawasaki Frontale,254.5,16.28,1.29,1.41,1.22,1.23,0.06000000000000005,54.63659147869674,54.13533834586466,49.62406015037594
Vasco da Gama,1440.0,69.45,0.87,1.23,1.19,1.22,-0.35,54.385964912280706,55.639097744360896,35.83959899749373
Viborg,268.93,12.78,0.84,1.16,1.28,1.44,-0.6,54.13533834586466,46.8671679197995,13.784461152882205
Cercle Brugge,832.45,28.65,1.13,1.71,1.1,0.89,0.23999999999999988,53.88471177944862,57.64411027568922,69.17293233082707
Laval,339.0,8.55,1.2,1.51,0.76,0.46,0.74,53.63408521303258,44.11027568922306,81.45363408521304
Palmeiras,1440.0,160.3,1.3,1.29,1.01,0.78,0.52,53.383458646616546,87.21804511278195,82.70676691729322
América Mineiro,1440.0,28.18,0.97,1.4,1.41,1.8,-0.8300000000000001,53.1328320802005,47.11779448621554,12.781954887218044
